experiment_id,run_id,trial_id,agent_id,session_id,scenario,variant,model,seed,timestamp,git_commit,task_id,workload_file,mode,memory_mode,backend,round,stage,prompt_tokens,output_tokens,total_tokens,latency,total_latency,model_request_latency,ttft,ttft_status,ttft_reason,tool_execution_latency,tokens_per_second,tokens_per_second_status,tokens_per_second_reason,peak_gpu_memory_mb,peak_gpu_memory_mb_status,peak_gpu_memory_mb_reason,success,score,failure_reason,passed_checks,total_checks,extractor_effective,extractor_status,extractor_success_count,extractor_failure_count,refill_count,refill_tokens,initial_score,final_score,agent_meta_enabled,agent_meta_sent,agent_meta_agent_id,agent_meta_session_id,agent_meta_context_id,agent_meta_segment_type,agent_meta_priority,cache_stats_available,cache_stats_unavailable_reason,cache_stats_scope,cache_total_blocks,cache_total_blocks_status,cache_total_blocks_reason,cache_agent_sessions,cache_agent_sessions_status,cache_agent_sessions_reason,cache_tool_result_blocks,cache_tool_result_blocks_status,cache_tool_result_blocks_reason,cache_shared_prefix_blocks,cache_shared_prefix_blocks_status,cache_shared_prefix_blocks_reason,cache_scratchpad_blocks,cache_scratchpad_blocks_status,cache_scratchpad_blocks_reason,cache_expired_branch_blocks,cache_expired_branch_blocks_status,cache_expired_branch_blocks_reason,concurrency,agent_index,throughput_tasks_per_second,timeout,failure_class,cache_namespace
exp_a1d2d554e0bd,run_6bc598f36bf8,trial_77771522b496,agentmem_concurrent_agents_config_1784892352,session_cbc41923e2b5,concurrent-agents,optimized,Qwen2.5-1.5B-Instruct,20260721,2026-07-24T11:26:12Z,87a752d,concurrent_agents_c1_a1,metric:concurrent-agents,optimized,optimized,vllm,1,planning,49,472,521,4.070551364000494,4.070551364000494,4.070551364000494,0.8874194199997874,ok,,,115.95480754138514,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,1,1,,,,,,,,,False,True,agentmem_concurrent_agents_config_1784892352,concurrent_agents_c1_a1,concurrent_agents_c1_a1:planning:scratchpad,scratchpad,normal,False,concurrent_agent_per_request_cache_not_collected,unknown,,unavailable,concurrent_agent_per_request_cache_not_collected,,unavailable,concurrent_agent_per_request_cache_not_collected,,unavailable,concurrent_agent_per_request_cache_not_collected,,unavailable,concurrent_agent_per_request_cache_not_collected,,unavailable,concurrent_agent_per_request_cache_not_collected,,unavailable,concurrent_agent_per_request_cache_not_collected,1,1,0.21700576360537632,False,,exp_a1d2d554e0bd:agentmem_concurrent_agents_config_1784892352:concurrent_agents_c1_a1
exp_a1d2d554e0bd,run_6bc598f36bf8,trial_96f555ed2f01,agentmem_concurrent_agents_config_1784892352,session_18ad62dc41f5,concurrent-agents,optimized,Qwen2.5-1.5B-Instruct,20260721,2026-07-24T11:26:12Z,87a752d,concurrent_agents_c2_a2,metric:concurrent-agents,optimized,optimized,vllm,2,planning,49,449,498,3.3232678410004155,3.3232678410004155,3.3232678410004155,0.14540856600069674,ok,,,135.10797849650177,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,1,1,,,,,,,,,False,True,agentmem_concurrent_agents_config_1784892352,concurrent_agents_c2_a2,concurrent_agents_c2_a2:planning:scratchpad,scratchpad,normal,False,concurrent_agent_per_request_cache_not_collected,unknown,,unavailable,concurrent_agent_per_request_cache_not_collected,,unavailable,concurrent_agent_per_request_cache_not_collected,,unavailable,concurrent_agent_per_request_cache_not_collected,,unavailable,concurrent_agent_per_request_cache_not_collected,,unavailable,concurrent_agent_per_request_cache_not_collected,,unavailable,concurrent_agent_per_request_cache_not_collected,2,2,0.29799294282326444,False,,exp_a1d2d554e0bd:agentmem_concurrent_agents_config_1784892352:concurrent_agents_c2_a2
exp_a1d2d554e0bd,run_6bc598f36bf8,trial_96f555ed2f01,agentmem_concurrent_agents_config_1784892352,session_18ad62dc41f5,concurrent-agents,optimized,Qwen2.5-1.5B-Instruct,20260721,2026-07-24T11:26:12Z,87a752d,concurrent_agents_c2_a1,metric:concurrent-agents,optimized,optimized,vllm,2,planning,49,512,561,3.8090451750013017,3.8090451750013017,3.8090451750013017,0.17216254599952663,ok,,,134.41688834783247,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,1,1,,,,,,,,,False,True,agentmem_concurrent_agents_config_1784892352,concurrent_agents_c2_a1,concurrent_agents_c2_a1:planning:scratchpad,scratchpad,normal,False,concurrent_agent_per_request_cache_not_collected,unknown,,unavailable,concurrent_agent_per_request_cache_not_collected,,unavailable,concurrent_agent_per_request_cache_not_collected,,unavailable,concurrent_agent_per_request_cache_not_collected,,unavailable,concurrent_agent_per_request_cache_not_collected,,unavailable,concurrent_agent_per_request_cache_not_collected,,unavailable,concurrent_agent_per_request_cache_not_collected,2,1,0.2603339484019706,False,,exp_a1d2d554e0bd:agentmem_concurrent_agents_config_1784892352:concurrent_agents_c2_a1
exp_a1d2d554e0bd,run_6bc598f36bf8,trial_119167030212,agentmem_concurrent_agents_config_1784892352,session_f6ac42b14f9c,concurrent-agents,optimized,Qwen2.5-1.5B-Instruct,20260721,2026-07-24T11:26:12Z,87a752d,concurrent_agents_c4_a2,metric:concurrent-agents,optimized,optimized,vllm,4,planning,49,344,393,2.8850452400001814,2.8850452400001814,2.8850452400001814,0.41948449600022286,ok,,,119.23556526274034,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,1,1,,,,,,,,,False,True,agentmem_concurrent_agents_config_1784892352,concurrent_agents_c4_a2,concurrent_agents_c4_a2:planning:scratchpad,scratchpad,normal,False,concurrent_agent_per_request_cache_not_collected,unknown,,unavailable,concurrent_agent_per_request_cache_not_collected,,unavailable,concurrent_agent_per_request_cache_not_collected,,unavailable,concurrent_agent_per_request_cache_not_collected,,unavailable,concurrent_agent_per_request_cache_not_collected,,unavailable,concurrent_agent_per_request_cache_not_collected,,unavailable,concurrent_agent_per_request_cache_not_collected,4,2,0.3370516609671802,False,,exp_a1d2d554e0bd:agentmem_concurrent_agents_config_1784892352:concurrent_agents_c4_a2
exp_a1d2d554e0bd,run_6bc598f36bf8,trial_119167030212,agentmem_concurrent_agents_config_1784892352,session_f6ac42b14f9c,concurrent-agents,optimized,Qwen2.5-1.5B-Instruct,20260721,2026-07-24T11:26:12Z,87a752d,concurrent_agents_c4_a4,metric:concurrent-agents,optimized,optimized,vllm,4,planning,49,458,507,3.6849759020005877,3.6849759020005877,3.6849759020005877,0.4157517490002647,ok,,,124.28846542832207,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,1,1,,,,,,,,,False,True,agentmem_concurrent_agents_config_1784892352,concurrent_agents_c4_a4,concurrent_agents_c4_a4:planning:scratchpad,scratchpad,normal,False,concurrent_agent_per_request_cache_not_collected,unknown,,unavailable,concurrent_agent_per_request_cache_not_collected,,unavailable,concurrent_agent_per_request_cache_not_collected,,unavailable,concurrent_agent_per_request_cache_not_collected,,unavailable,concurrent_agent_per_request_cache_not_collected,,unavailable,concurrent_agent_per_request_cache_not_collected,,unavailable,concurrent_agent_per_request_cache_not_collected,4,4,0.2655052103009639,False,,exp_a1d2d554e0bd:agentmem_concurrent_agents_config_1784892352:concurrent_agents_c4_a4
exp_a1d2d554e0bd,run_6bc598f36bf8,trial_119167030212,agentmem_concurrent_agents_config_1784892352,session_f6ac42b14f9c,concurrent-agents,optimized,Qwen2.5-1.5B-Instruct,20260721,2026-07-24T11:26:12Z,87a752d,concurrent_agents_c4_a1,metric:concurrent-agents,optimized,optimized,vllm,4,planning,49,510,559,4.095474112999,4.095474112999,4.095474112999,0.4859948129997065,ok,,,124.52770690974809,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,1,1,,,,,,,,,False,True,agentmem_concurrent_agents_config_1784892352,concurrent_agents_c4_a1,concurrent_agents_c4_a1:planning:scratchpad,scratchpad,normal,False,concurrent_agent_per_request_cache_not_collected,unknown,,unavailable,concurrent_agent_per_request_cache_not_collected,,unavailable,concurrent_agent_per_request_cache_not_collected,,unavailable,concurrent_agent_per_request_cache_not_collected,,unavailable,concurrent_agent_per_request_cache_not_collected,,unavailable,concurrent_agent_per_request_cache_not_collected,,unavailable,concurrent_agent_per_request_cache_not_collected,4,1,0.23914106460291462,False,,exp_a1d2d554e0bd:agentmem_concurrent_agents_config_1784892352:concurrent_agents_c4_a1
exp_a1d2d554e0bd,run_6bc598f36bf8,trial_119167030212,agentmem_concurrent_agents_config_1784892352,session_f6ac42b14f9c,concurrent-agents,optimized,Qwen2.5-1.5B-Instruct,20260721,2026-07-24T11:26:12Z,87a752d,concurrent_agents_c4_a3,metric:concurrent-agents,optimized,optimized,vllm,4,planning,49,512,561,4.15078125799846,4.15078125799846,4.15078125799846,0.4841882459986664,ok,,,123.35027267779716,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,1,1,,,,,,,,,False,True,agentmem_concurrent_agents_config_1784892352,concurrent_agents_c4_a3,concurrent_agents_c4_a3:planning:scratchpad,scratchpad,normal,False,concurrent_agent_per_request_cache_not_collected,unknown,,unavailable,concurrent_agent_per_request_cache_not_collected,,unavailable,concurrent_agent_per_request_cache_not_collected,,unavailable,concurrent_agent_per_request_cache_not_collected,,unavailable,concurrent_agent_per_request_cache_not_collected,,unavailable,concurrent_agent_per_request_cache_not_collected,,unavailable,concurrent_agent_per_request_cache_not_collected,4,3,0.23638868938713864,False,,exp_a1d2d554e0bd:agentmem_concurrent_agents_config_1784892352:concurrent_agents_c4_a3
exp_a1d2d554e0bd,run_6bc598f36bf8,trial_a598827f8c68,agentmem_concurrent_agents_config_1784892352,session_51d0cb95fdd4,concurrent-agents,optimized,Qwen2.5-1.5B-Instruct,20260721,2026-07-24T11:26:12Z,87a752d,concurrent_agents_c8_a5,metric:concurrent-agents,optimized,optimized,vllm,8,planning,49,285,334,2.1813216949994967,2.1813216949994967,2.1813216949994967,0.14951688699875376,ok,,,130.65473132795563,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,1,1,,,,,,,,,False,True,agentmem_concurrent_agents_config_1784892352,concurrent_agents_c8_a5,concurrent_agents_c8_a5:planning:scratchpad,scratchpad,normal,False,concurrent_agent_per_request_cache_not_collected,unknown,,unavailable,concurrent_agent_per_request_cache_not_collected,,unavailable,concurrent_agent_per_request_cache_not_collected,,unavailable,concurrent_agent_per_request_cache_not_collected,,unavailable,concurrent_agent_per_request_cache_not_collected,,unavailable,concurrent_agent_per_request_cache_not_collected,,unavailable,concurrent_agent_per_request_cache_not_collected,8,5,0.4388570412310622,False,,exp_a1d2d554e0bd:agentmem_concurrent_agents_config_1784892352:concurrent_agents_c8_a5
exp_a1d2d554e0bd,run_6bc598f36bf8,trial_a598827f8c68,agentmem_concurrent_agents_config_1784892352,session_51d0cb95fdd4,concurrent-agents,optimized,Qwen2.5-1.5B-Instruct,20260721,2026-07-24T11:26:12Z,87a752d,concurrent_agents_c8_a3,metric:concurrent-agents,optimized,optimized,vllm,8,planning,49,308,357,2.3701393010014726,2.3701393010014726,2.3701393010014726,0.14613678000023356,ok,,,129.95016785294368,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,1,1,,,,,,,,,False,True,agentmem_concurrent_agents_config_1784892352,concurrent_agents_c8_a3,concurrent_agents_c8_a3:planning:scratchpad,scratchpad,normal,False,concurrent_agent_per_request_cache_not_collected,unknown,,unavailable,concurrent_agent_per_request_cache_not_collected,,unavailable,concurrent_agent_per_request_cache_not_collected,,unavailable,concurrent_agent_per_request_cache_not_collected,,unavailable,concurrent_agent_per_request_cache_not_collected,,unavailable,concurrent_agent_per_request_cache_not_collected,,unavailable,concurrent_agent_per_request_cache_not_collected,8,3,0.4055504076519538,False,,exp_a1d2d554e0bd:agentmem_concurrent_agents_config_1784892352:concurrent_agents_c8_a3
exp_a1d2d554e0bd,run_6bc598f36bf8,trial_a598827f8c68,agentmem_concurrent_agents_config_1784892352,session_51d0cb95fdd4,concurrent-agents,optimized,Qwen2.5-1.5B-Instruct,20260721,2026-07-24T11:26:12Z,87a752d,concurrent_agents_c8_a6,metric:concurrent-agents,optimized,optimized,vllm,8,planning,49,322,371,2.4977368290001323,2.4977368290001323,2.4977368290001323,0.14659526799914602,ok,,,128.91670421855437,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,1,1,,,,,,,,,False,True,agentmem_concurrent_agents_config_1784892352,concurrent_agents_c8_a6,concurrent_agents_c8_a6:planning:scratchpad,scratchpad,normal,False,concurrent_agent_per_request_cache_not_collected,unknown,,unavailable,concurrent_agent_per_request_cache_not_collected,,unavailable,concurrent_agent_per_request_cache_not_collected,,unavailable,concurrent_agent_per_request_cache_not_collected,,unavailable,concurrent_agent_per_request_cache_not_collected,,unavailable,concurrent_agent_per_request_cache_not_collected,,unavailable,concurrent_agent_per_request_cache_not_collected,8,6,0.38764963895806703,False,,exp_a1d2d554e0bd:agentmem_concurrent_agents_config_1784892352:concurrent_agents_c8_a6
