experiment_id,run_id,trial_id,agent_id,session_id,scenario,variant,model,seed,timestamp,git_commit,task_id,workload_file,mode,memory_mode,backend,round,stage,prompt_tokens,output_tokens,total_tokens,latency,total_latency,model_request_latency,ttft,ttft_status,ttft_reason,tool_execution_latency,tokens_per_second,tokens_per_second_status,tokens_per_second_reason,peak_gpu_memory_mb,peak_gpu_memory_mb_status,peak_gpu_memory_mb_reason,success,score,failure_reason,passed_checks,total_checks,extractor_effective,extractor_status,extractor_success_count,extractor_failure_count,refill_count,refill_tokens,initial_score,final_score,agent_meta_enabled,agent_meta_sent,agent_meta_agent_id,agent_meta_session_id,agent_meta_context_id,agent_meta_segment_type,agent_meta_priority,cache_stats_available,cache_stats_unavailable_reason,cache_stats_scope,cache_total_blocks,cache_total_blocks_status,cache_total_blocks_reason,cache_agent_sessions,cache_agent_sessions_status,cache_agent_sessions_reason,cache_tool_result_blocks,cache_tool_result_blocks_status,cache_tool_result_blocks_reason,cache_shared_prefix_blocks,cache_shared_prefix_blocks_status,cache_shared_prefix_blocks_reason,cache_scratchpad_blocks,cache_scratchpad_blocks_status,cache_scratchpad_blocks_reason,cache_expired_branch_blocks,cache_expired_branch_blocks_status,cache_expired_branch_blocks_reason,step,completed_stages,tool_names,raw_tool_tokens,injected_tool_tokens,tool_compression_ratio,history_tokens,full_history_tokens,summary_tokens,state_view_tokens,event_count,memory_delta_count,fact_count,decision_count,artifact_ref_count,snapshot_count,early_fact_retention,initial_score,final_score,missing_keywords
exp_3492ebe07ee4,run_1784891077107_d350b318,trial_4330da95bc71,agentmem_multi_stage_config_1784891069,multi_stage_agentmem_01,multi-stage,summary_memory,Qwen2.5-1.5B-Instruct,20260721,2026-07-24T11:05:29Z,87a752d,multi_stage_agentmem_01_plan,benchmarks/tasks/multi_stage.jsonl,summary_memory,summary_memory,vllm,1,planning,399,245,644,1.8573463490010909,1.8573463490010909,1.8573463490010909,0.140859339000599,ok,,0,131.9086233602929,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,6,6,False,not_used,0,0,,,1.0,1.0,True,True,agentmem_multi_stage_config_1784891069,run_1784891077107_d350b318,run_1784891077107_d350b318:round_1:step_1:planning:scratchpad,scratchpad,normal,True,,global,6550,ok,,313,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,1,planning,,0,0,1.0,23,23,0,0,0,0,0,0,0,0,1.0,1.0,1.0,
exp_3492ebe07ee4,run_1784891077107_d350b318,trial_a19d0c230f32,agentmem_multi_stage_config_1784891069,multi_stage_agentmem_01,multi-stage,summary_memory,Qwen2.5-1.5B-Instruct,20260721,2026-07-24T11:05:29Z,87a752d,multi_stage_agentmem_01_tool,benchmarks/tasks/multi_stage.jsonl,summary_memory,summary_memory,vllm,2,tool_calling,1876,253,2129,2.012511227001596,2.012511227001596,1.9977156830009335,0.14285095900049782,ok,,0.01479554400066263,126.6446482614322,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,12,12,False,not_used,0,0,,,1.0,1.0,True,True,agentmem_multi_stage_config_1784891069,run_1784891077107_d350b318,run_1784891077107_d350b318:round_2:step_1:tool_calling:tool_result,tool_result,normal,True,,global,6550,ok,,313,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,2,"planning,tool_calling",log_analyzer,6112,375,0.061354712041884814,580,580,0,0,0,0,0,0,0,0,1.0,1.0,1.0,
exp_3492ebe07ee4,run_1784891077107_d350b318,trial_1926c8075f43,agentmem_multi_stage_config_1784891069,multi_stage_agentmem_01,multi-stage,summary_memory,Qwen2.5-1.5B-Instruct,20260721,2026-07-24T11:05:29Z,87a752d,multi_stage_agentmem_01_reflect,benchmarks/tasks/multi_stage.jsonl,summary_memory,summary_memory,vllm,3,reflection,2025,269,2294,2.133277872999315,2.133277872999315,2.133277872999315,0.15417548699952022,ok,,0,126.09702814842178,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,12,12,False,not_used,0,0,,,1.0,1.0,True,True,agentmem_multi_stage_config_1784891069,run_1784891077107_d350b318,run_1784891077107_d350b318:round_3:step_1:reflection:scratchpad,scratchpad,low,True,,global,6550,ok,,313,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,3,"planning,tool_calling,reflection",,0,0,1.0,749,749,0,0,0,0,0,0,0,0,1.0,1.0,1.0,
exp_3492ebe07ee4,run_1784891077107_d350b318,trial_c92713a83bca,agentmem_multi_stage_config_1784891069,multi_stage_agentmem_01,multi-stage,summary_memory,Qwen2.5-1.5B-Instruct,20260721,2026-07-24T11:05:29Z,87a752d,multi_stage_agentmem_01_final,benchmarks/tasks/multi_stage.jsonl,summary_memory,summary_memory,vllm,4,final_answer,2326,492,2818,3.7202081280011043,3.7202081280011043,3.7202081280011043,0.16190531400025066,ok,,0,132.2506653046735,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,20,20,False,not_used,0,0,,,1.0,1.0,True,True,agentmem_multi_stage_config_1784891069,run_1784891077107_d350b318,run_1784891077107_d350b318:round_4:step_1:final_answer:assistant_message,assistant_message,normal,True,,global,6550,ok,,313,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,4,"planning,tool_calling,reflection,final_answer",,0,0,1.0,904,904,0,0,0,0,0,0,0,0,1.0,1.0,1.0,
exp_3492ebe07ee4,run_1784891086873_b19b6143,trial_4330da95bc71,agentmem_multi_stage_config_1784891069,multi_stage_agentmem_01,multi-stage,summary_memory,Qwen2.5-1.5B-Instruct,20260721,2026-07-24T11:05:29Z,87a752d,multi_stage_agentmem_01_plan,benchmarks/tasks/multi_stage.jsonl,summary_memory,summary_memory,vllm,1,planning,399,120,519,1.0985806019998563,1.0985806019998563,1.0985806019998563,0.14034394000009343,ok,,0,109.23185770944069,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,6,6,False,not_used,0,0,,,1.0,1.0,True,True,agentmem_multi_stage_config_1784891069,run_1784891086873_b19b6143,run_1784891086873_b19b6143:round_1:step_1:planning:scratchpad,scratchpad,normal,True,,global,6550,ok,,313,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,1,planning,,0,0,1.0,23,23,0,0,0,0,0,0,0,0,1.0,1.0,1.0,
exp_3492ebe07ee4,run_1784891086873_b19b6143,trial_a19d0c230f32,agentmem_multi_stage_config_1784891069,multi_stage_agentmem_01,multi-stage,summary_memory,Qwen2.5-1.5B-Instruct,20260721,2026-07-24T11:05:29Z,87a752d,multi_stage_agentmem_01_tool,benchmarks/tasks/multi_stage.jsonl,summary_memory,summary_memory,vllm,2,tool_calling,1751,344,2095,2.56990249699993,2.56990249699993,2.5469006999992416,0.1596381300005305,ok,,0.023001797000688384,135.06612173772712,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,12,12,False,not_used,0,0,,,1.0,1.0,True,True,agentmem_multi_stage_config_1784891069,run_1784891086873_b19b6143,run_1784891086873_b19b6143:round_2:step_1:tool_calling:tool_result,tool_result,normal,True,,global,6550,ok,,313,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,2,"planning,tool_calling",log_analyzer,6112,375,0.061354712041884814,518,518,0,0,0,0,0,0,0,0,1.0,1.0,1.0,
exp_3492ebe07ee4,run_1784891086873_b19b6143,trial_1926c8075f43,agentmem_multi_stage_config_1784891069,multi_stage_agentmem_01,multi-stage,summary_memory,Qwen2.5-1.5B-Instruct,20260721,2026-07-24T11:05:29Z,87a752d,multi_stage_agentmem_01_reflect,benchmarks/tasks/multi_stage.jsonl,summary_memory,summary_memory,vllm,3,reflection,1991,435,2426,3.277383918000851,3.277383918000851,3.277383918000851,0.1670806479996827,ok,,0,132.72781306174917,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,False,0.833333,answer_keyword:工具结果外置;required_answer_point:工具结果外置,10,12,False,not_used,0,0,,,0.833333,0.833333,True,True,agentmem_multi_stage_config_1784891069,run_1784891086873_b19b6143,run_1784891086873_b19b6143:round_3:step_1:reflection:scratchpad,scratchpad,low,True,,global,6550,ok,,313,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,3,"planning,tool_calling,reflection",,0,0,1.0,715,715,0,0,0,0,0,0,0,0,1.0,0.833333,0.833333,
exp_3492ebe07ee4,run_1784891086873_b19b6143,trial_c92713a83bca,agentmem_multi_stage_config_1784891069,multi_stage_agentmem_01,multi-stage,summary_memory,Qwen2.5-1.5B-Instruct,20260721,2026-07-24T11:05:29Z,87a752d,multi_stage_agentmem_01_final,benchmarks/tasks/multi_stage.jsonl,summary_memory,summary_memory,vllm,4,final_answer,2457,512,2969,3.793342697999833,3.793342697999833,3.793342697999833,0.1363323549994675,ok,,0,134.97330475044322,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,False,0.7,answer_keyword:baseline;answer_keyword:optimized;answer_keyword:success rate;required_answer_point:baseline;required_answer_point:optimized;required_answer_point:success rate,14,20,False,not_used,0,0,,,0.7,0.7,True,True,agentmem_multi_stage_config_1784891069,run_1784891086873_b19b6143,run_1784891086873_b19b6143:round_4:step_1:final_answer:assistant_message,assistant_message,normal,True,,global,6550,ok,,313,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,4,"planning,tool_calling,reflection,final_answer",,0,0,1.0,954,954,0,0,0,0,0,0,0,0,1.0,0.7,0.7,
exp_3492ebe07ee4,run_1784891097654_1478dadf,trial_4330da95bc71,agentmem_multi_stage_config_1784891069,multi_stage_agentmem_01,multi-stage,summary_memory,Qwen2.5-1.5B-Instruct,20260721,2026-07-24T11:05:29Z,87a752d,multi_stage_agentmem_01_plan,benchmarks/tasks/multi_stage.jsonl,summary_memory,summary_memory,vllm,1,planning,399,120,519,0.9694331330010755,0.9694331330010755,0.9694331330010755,0.13883211500069592,ok,,0,123.78367926059617,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,6,6,False,not_used,0,0,,,1.0,1.0,True,True,agentmem_multi_stage_config_1784891069,run_1784891097654_1478dadf,run_1784891097654_1478dadf:round_1:step_1:planning:scratchpad,scratchpad,normal,True,,global,6550,ok,,313,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,1,planning,,0,0,1.0,23,23,0,0,0,0,0,0,0,0,1.0,1.0,1.0,
exp_3492ebe07ee4,run_1784891097654_1478dadf,trial_a19d0c230f32,agentmem_multi_stage_config_1784891069,multi_stage_agentmem_01,multi-stage,summary_memory,Qwen2.5-1.5B-Instruct,20260721,2026-07-24T11:05:29Z,87a752d,multi_stage_agentmem_01_tool,benchmarks/tasks/multi_stage.jsonl,summary_memory,summary_memory,vllm,2,tool_calling,1747,374,2121,2.9002829309993103,2.9002829309993103,2.885866812999666,0.14107274399975722,ok,,0.014416117999644484,129.5971104124698,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,12,12,False,not_used,0,0,,,1.0,1.0,True,True,agentmem_multi_stage_config_1784891069,run_1784891097654_1478dadf,run_1784891097654_1478dadf:round_2:step_1:tool_calling:tool_result,tool_result,normal,True,,global,6550,ok,,313,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,2,"planning,tool_calling",log_analyzer,6112,375,0.061354712041884814,518,518,0,0,0,0,0,0,0,0,1.0,1.0,1.0,
