experiment_id,run_id,trial_id,agent_id,session_id,scenario,variant,model,seed,timestamp,git_commit,task_id,workload_file,mode,memory_mode,backend,round,stage,prompt_tokens,output_tokens,total_tokens,latency,total_latency,model_request_latency,ttft,ttft_status,ttft_reason,tool_execution_latency,tokens_per_second,tokens_per_second_status,tokens_per_second_reason,peak_gpu_memory_mb,peak_gpu_memory_mb_status,peak_gpu_memory_mb_reason,success,score,failure_reason,passed_checks,total_checks,extractor_effective,extractor_status,extractor_success_count,extractor_failure_count,refill_count,refill_tokens,initial_score,final_score,agent_meta_enabled,agent_meta_sent,agent_meta_agent_id,agent_meta_session_id,agent_meta_context_id,agent_meta_segment_type,agent_meta_priority,cache_stats_available,cache_stats_unavailable_reason,cache_stats_scope,cache_total_blocks,cache_total_blocks_status,cache_total_blocks_reason,cache_agent_sessions,cache_agent_sessions_status,cache_agent_sessions_reason,cache_tool_result_blocks,cache_tool_result_blocks_status,cache_tool_result_blocks_reason,cache_shared_prefix_blocks,cache_shared_prefix_blocks_status,cache_shared_prefix_blocks_reason,cache_scratchpad_blocks,cache_scratchpad_blocks_status,cache_scratchpad_blocks_reason,cache_expired_branch_blocks,cache_expired_branch_blocks_status,cache_expired_branch_blocks_reason,branch_count,shared_context_tokens,branch_delta_tokens,duplicated_context_tokens,optimized_context_tokens,branch_saving_ratio,branch_answer_tokens
exp_011c298bc619,run_dec603f6f273,trial_78b2eabbc9e9,agentmem_branching_config_1784890385,session_8fe549d36fc7,branching,baseline,Qwen2.5-7B-Instruct,20260721,2026-07-24T10:55:11Z,87a752d,branching_agentmem_tradeoff,benchmarks/tasks/branching.jsonl,baseline,baseline,vllm,2,branching,4108,512,2868,8.795469733000573,8.795469733000573,8.795469733000573,0.6992653200004497,ok,,,58.211785787742265,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,5,5,,,,,,,,,True,,,,,,,True,,global,6579,ok,,298,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,2,1820,468,4108,4108,0.0,26
exp_011c298bc619,run_dec603f6f273,trial_25be394080be,agentmem_branching_config_1784890385,session_e25a58779c3f,branching,baseline,Qwen2.5-7B-Instruct,20260721,2026-07-24T10:55:11Z,87a752d,branching_agentmem_tradeoff,benchmarks/tasks/branching.jsonl,baseline,baseline,vllm,4,branching,8216,512,2925,8.234375402000296,8.234375402000296,8.234375402000296,0.1354115450003519,ok,,,62.178365085908624,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,5,5,,,,,,,,,True,,,,,,,True,,global,6579,ok,,298,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,4,1820,936,8216,8216,0.0,56
exp_011c298bc619,run_dec603f6f273,trial_85e6e5a838bb,agentmem_branching_config_1784890385,session_685aa9a42aad,branching,baseline,Qwen2.5-7B-Instruct,20260721,2026-07-24T10:55:11Z,87a752d,branching_agentmem_tradeoff,benchmarks/tasks/branching.jsonl,baseline,baseline,vllm,8,branching,16432,512,3056,8.269037512000068,8.269037512000068,8.269037512000068,0.20719456300048478,ok,,,61.917726126769054,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,5,5,,,,,,,,,True,,,,,,,True,,global,6579,ok,,298,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,8,1820,1872,16432,16432,0.0,113
exp_011c298bc619,run_dec603f6f273,trial_78b2eabbc9e9,agentmem_branching_config_1784890385,session_8fe549d36fc7,branching,baseline,Qwen2.5-7B-Instruct,20260721,2026-07-24T10:55:11Z,87a752d,branching_agentmem_tradeoff,benchmarks/tasks/branching.jsonl,baseline,baseline,vllm,2,branching,4108,512,2868,8.56751078599973,8.56751078599973,8.56751078599973,0.1467001889996027,ok,,,59.76064842972421,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,5,5,,,,,,,,,True,,,,,,,True,,global,6579,ok,,298,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,2,1820,468,4108,4108,0.0,26
exp_011c298bc619,run_dec603f6f273,trial_25be394080be,agentmem_branching_config_1784890385,session_e25a58779c3f,branching,baseline,Qwen2.5-7B-Instruct,20260721,2026-07-24T10:55:11Z,87a752d,branching_agentmem_tradeoff,benchmarks/tasks/branching.jsonl,baseline,baseline,vllm,4,branching,8216,512,2925,8.245190104999892,8.245190104999892,8.245190104999892,0.14231182599996828,ok,,,62.09680959199748,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,5,5,,,,,,,,,True,,,,,,,True,,global,6579,ok,,298,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,4,1820,936,8216,8216,0.0,56
exp_011c298bc619,run_dec603f6f273,trial_85e6e5a838bb,agentmem_branching_config_1784890385,session_685aa9a42aad,branching,baseline,Qwen2.5-7B-Instruct,20260721,2026-07-24T10:55:11Z,87a752d,branching_agentmem_tradeoff,benchmarks/tasks/branching.jsonl,baseline,baseline,vllm,8,branching,16432,512,3056,8.25983183399967,8.25983183399967,8.25983183399967,0.15362437899966608,ok,,,61.98673414783961,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,5,5,,,,,,,,,True,,,,,,,True,,global,6579,ok,,298,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,8,1820,1872,16432,16432,0.0,113
exp_011c298bc619,run_dec603f6f273,trial_78b2eabbc9e9,agentmem_branching_config_1784890385,session_8fe549d36fc7,branching,baseline,Qwen2.5-7B-Instruct,20260721,2026-07-24T10:55:11Z,87a752d,branching_agentmem_tradeoff,benchmarks/tasks/branching.jsonl,baseline,baseline,vllm,2,branching,4108,512,2868,8.242280437999398,8.242280437999398,8.242280437999398,0.14522441400004027,ok,,,62.11873083564661,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,5,5,,,,,,,,,True,,,,,,,True,,global,6579,ok,,298,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,2,1820,468,4108,4108,0.0,26
exp_011c298bc619,run_dec603f6f273,trial_25be394080be,agentmem_branching_config_1784890385,session_e25a58779c3f,branching,baseline,Qwen2.5-7B-Instruct,20260721,2026-07-24T10:55:11Z,87a752d,branching_agentmem_tradeoff,benchmarks/tasks/branching.jsonl,baseline,baseline,vllm,4,branching,8216,512,2925,8.252215792999777,8.252215792999777,8.252215792999777,0.15097049700034404,ok,,,62.04394223843751,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,5,5,,,,,,,,,True,,,,,,,True,,global,6579,ok,,298,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,4,1820,936,8216,8216,0.0,56
exp_011c298bc619,run_dec603f6f273,trial_85e6e5a838bb,agentmem_branching_config_1784890385,session_685aa9a42aad,branching,baseline,Qwen2.5-7B-Instruct,20260721,2026-07-24T10:55:11Z,87a752d,branching_agentmem_tradeoff,benchmarks/tasks/branching.jsonl,baseline,baseline,vllm,8,branching,16432,512,3056,8.256455708999965,8.256455708999965,8.256455708999965,0.15096513100070297,ok,,,62.012080975846985,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,5,5,,,,,,,,,True,,,,,,,True,,global,6579,ok,,298,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,8,1820,1872,16432,16432,0.0,113
exp_011c298bc619,run_dec603f6f273,trial_78b2eabbc9e9,agentmem_branching_config_1784890385,session_8fe549d36fc7,branching,baseline,Qwen2.5-7B-Instruct,20260721,2026-07-24T10:55:11Z,87a752d,branching_agentmem_tradeoff,benchmarks/tasks/branching.jsonl,baseline,baseline,vllm,2,branching,4108,512,2868,8.250106501999653,8.250106501999653,8.250106501999653,0.14934107299995958,ok,,,62.059804909900485,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,5,5,,,,,,,,,True,,,,,,,True,,global,6579,ok,,298,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,2,1820,468,4108,4108,0.0,26
