experiment_id,run_id,trial_id,agent_id,session_id,scenario,variant,model,seed,timestamp,git_commit,task_id,workload_file,mode,memory_mode,backend,round,stage,prompt_tokens,output_tokens,total_tokens,latency,total_latency,model_request_latency,ttft,ttft_status,ttft_reason,tool_execution_latency,tokens_per_second,tokens_per_second_status,tokens_per_second_reason,peak_gpu_memory_mb,peak_gpu_memory_mb_status,peak_gpu_memory_mb_reason,success,score,failure_reason,passed_checks,total_checks,extractor_effective,extractor_status,extractor_success_count,extractor_failure_count,refill_count,refill_tokens,initial_score,final_score,agent_meta_enabled,agent_meta_sent,agent_meta_agent_id,agent_meta_session_id,agent_meta_context_id,agent_meta_segment_type,agent_meta_priority,cache_stats_available,cache_stats_unavailable_reason,cache_stats_scope,cache_total_blocks,cache_total_blocks_status,cache_total_blocks_reason,cache_agent_sessions,cache_agent_sessions_status,cache_agent_sessions_reason,cache_tool_result_blocks,cache_tool_result_blocks_status,cache_tool_result_blocks_reason,cache_shared_prefix_blocks,cache_shared_prefix_blocks_status,cache_shared_prefix_blocks_reason,cache_scratchpad_blocks,cache_scratchpad_blocks_status,cache_scratchpad_blocks_reason,cache_expired_branch_blocks,cache_expired_branch_blocks_status,cache_expired_branch_blocks_reason,stable_prefix_hash,stable_prefix_tokens,unique_prefix_hashes,prefix_cache_hit_rate,prefix_cache_hit_rate_status,prefix_cache_hit_rate_reason,cached_prompt_tokens,cached_prompt_tokens_status,cached_prompt_tokens_reason,kv_cache_usage,kv_cache_usage_status,kv_cache_usage_reason,extractor_effective,extractor_status,extractor_success_count,extractor_failure_count
exp_4562efdb1887,run_c8de697ced7b,trial_fbf77ddad359,agentmem_prefix_cache_config_1784890641,session_153e6fc6edb4,prefix-cache,optimized,Qwen2.5-7B-Instruct,20260721,2026-07-24T11:00:24Z,87a752d,prefix_cache_round_01,metric:prefix-cache,optimized,optimized,vllm,1,prefix_cache,358,116,474,1.9614865209987329,1.9614865209987329,1.9614865209987329,0.16505506799876457,ok,,,59.13882086782636,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,4,4,,,,,,,,,True,,,,,,,True,,global,6579,ok,,298,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,cb275d82051fabc9,175,1,,unavailable,HTTP Error 404: Not Found,,unavailable,HTTP Error 404: Not Found,,unavailable,HTTP Error 404: Not Found,,,,
exp_4562efdb1887,run_c8de697ced7b,trial_07637936b057,agentmem_prefix_cache_config_1784890641,session_923155d196f5,prefix-cache,optimized,Qwen2.5-7B-Instruct,20260721,2026-07-24T11:00:24Z,87a752d,prefix_cache_round_02,metric:prefix-cache,optimized,optimized,vllm,2,prefix_cache,358,151,509,2.4673095580001245,2.4673095580001245,2.4673095580001245,0.12761360100012098,ok,,,61.20026549177433,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,4,4,,,,,,,,,True,,,,,,,True,,global,6579,ok,,298,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,cb275d82051fabc9,175,1,,unavailable,HTTP Error 404: Not Found,,unavailable,HTTP Error 404: Not Found,,unavailable,HTTP Error 404: Not Found,,,,
exp_4562efdb1887,run_c8de697ced7b,trial_992153cb1333,agentmem_prefix_cache_config_1784890641,session_32de2d917d07,prefix-cache,optimized,Qwen2.5-7B-Instruct,20260721,2026-07-24T11:00:24Z,87a752d,prefix_cache_round_03,metric:prefix-cache,optimized,optimized,vllm,3,prefix_cache,358,98,456,1.6420689149999816,1.6420689149999816,1.6420689149999816,0.1254227829995216,ok,,,59.68080821991634,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,4,4,,,,,,,,,True,,,,,,,True,,global,6579,ok,,298,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,cb275d82051fabc9,175,1,,unavailable,HTTP Error 404: Not Found,,unavailable,HTTP Error 404: Not Found,,unavailable,HTTP Error 404: Not Found,,,,
exp_4562efdb1887,run_c8de697ced7b,trial_fb6ee26de2b4,agentmem_prefix_cache_config_1784890641,session_6b7288f0e091,prefix-cache,optimized,Qwen2.5-7B-Instruct,20260721,2026-07-24T11:00:24Z,87a752d,prefix_cache_round_04,metric:prefix-cache,optimized,optimized,vllm,4,prefix_cache,358,104,462,2.766506637999555,2.766506637999555,2.766506637999555,1.1545463719994586,ok,,,37.5925358614725,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,4,4,,,,,,,,,True,,,,,,,True,,global,6579,ok,,298,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,cb275d82051fabc9,175,1,,unavailable,HTTP Error 404: Not Found,,unavailable,HTTP Error 404: Not Found,,unavailable,HTTP Error 404: Not Found,,,,
exp_4562efdb1887,run_c8de697ced7b,trial_2ded58b9433c,agentmem_prefix_cache_config_1784890641,session_0ad1bbd2d572,prefix-cache,optimized,Qwen2.5-7B-Instruct,20260721,2026-07-24T11:00:24Z,87a752d,prefix_cache_round_05,metric:prefix-cache,optimized,optimized,vllm,5,prefix_cache,358,128,486,2.111840169000061,2.111840169000061,2.111840169000061,0.12310438799977419,ok,,,60.61064747177669,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,4,4,,,,,,,,,True,,,,,,,True,,global,6579,ok,,298,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,cb275d82051fabc9,175,1,,unavailable,HTTP Error 404: Not Found,,unavailable,HTTP Error 404: Not Found,,unavailable,HTTP Error 404: Not Found,,,,
exp_4562efdb1887,run_c8de697ced7b,trial_8778a8476c43,agentmem_prefix_cache_config_1784890641,session_d83076a80a61,prefix-cache,optimized,Qwen2.5-7B-Instruct,20260721,2026-07-24T11:00:24Z,87a752d,prefix_cache_round_06,metric:prefix-cache,optimized,optimized,vllm,6,prefix_cache,358,119,477,2.9910235999996075,2.9910235999996075,2.9910235999996075,1.1508545719989343,ok,,,39.78571081820137,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,4,4,,,,,,,,,True,,,,,,,True,,global,6579,ok,,298,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,cb275d82051fabc9,175,1,,unavailable,HTTP Error 404: Not Found,,unavailable,HTTP Error 404: Not Found,,unavailable,HTTP Error 404: Not Found,,,,
exp_4562efdb1887,run_c8de697ced7b,trial_26fcdedcc810,agentmem_prefix_cache_config_1784890641,session_e0607e97efa6,prefix-cache,optimized,Qwen2.5-7B-Instruct,20260721,2026-07-24T11:00:24Z,87a752d,prefix_cache_round_07,metric:prefix-cache,optimized,optimized,vllm,7,prefix_cache,358,128,486,3.4145309010000346,3.4145309010000346,3.4145309010000346,1.6862569400000211,ok,,,37.486847743129765,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,4,4,,,,,,,,,True,,,,,,,True,,global,6579,ok,,298,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,cb275d82051fabc9,175,1,,unavailable,HTTP Error 404: Not Found,,unavailable,HTTP Error 404: Not Found,,unavailable,HTTP Error 404: Not Found,,,,
exp_4562efdb1887,run_c8de697ced7b,trial_464f5d9e2cee,agentmem_prefix_cache_config_1784890641,session_5f01a06e2d3b,prefix-cache,optimized,Qwen2.5-7B-Instruct,20260721,2026-07-24T11:00:24Z,87a752d,prefix_cache_round_08,metric:prefix-cache,optimized,optimized,vllm,8,prefix_cache,358,128,486,3.6444453620006243,3.6444453620006243,3.6444453620006243,2.0194140400017204,ok,,,35.12194237691471,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,4,4,,,,,,,,,True,,,,,,,True,,global,6579,ok,,298,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,cb275d82051fabc9,175,1,,unavailable,HTTP Error 404: Not Found,,unavailable,HTTP Error 404: Not Found,,unavailable,HTTP Error 404: Not Found,,,,
exp_4562efdb1887,run_c8de697ced7b,trial_e8ee5f1aa22d,agentmem_prefix_cache_config_1784890641,session_f02826ed2ab8,prefix-cache,optimized,Qwen2.5-7B-Instruct,20260721,2026-07-24T11:00:24Z,87a752d,prefix_cache_round_09,metric:prefix-cache,optimized,optimized,vllm,9,prefix_cache,358,160,518,2.6124229220004054,2.6124229220004054,2.6124229220004054,0.1285061200014752,ok,,,61.2458261074679,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,4,4,,,,,,,,,True,,,,,,,True,,global,6579,ok,,298,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,cb275d82051fabc9,175,1,,unavailable,HTTP Error 404: Not Found,,unavailable,HTTP Error 404: Not Found,,unavailable,HTTP Error 404: Not Found,,,,
exp_4562efdb1887,run_c8de697ced7b,trial_c659b85da487,agentmem_prefix_cache_config_1784890641,session_4fa6571881fb,prefix-cache,optimized,Qwen2.5-7B-Instruct,20260721,2026-07-24T11:00:24Z,87a752d,prefix_cache_round_10,metric:prefix-cache,optimized,optimized,vllm,10,prefix_cache,359,105,464,1.7562106320001476,1.7562106320001476,1.7562106320001476,0.12893508799970732,ok,,,59.7878170686255,ok,,,unavailable,local_gpu_disabled_use_model_server_metrics,True,1.0,,4,4,,,,,,,,,True,,,,,,,True,,global,6579,ok,,298,ok,,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,,unavailable,field_missing,cb275d82051fabc9,175,1,,unavailable,HTTP Error 404: Not Found,,unavailable,HTTP Error 404: Not Found,,unavailable,HTTP Error 404: Not Found,,,,
